x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-8460.94255696229,3
0.003,0.0,0.0,0.0,-5100.01678585234,2
0.006,0.0,0.0,0.0,-2890.19480310174,2
0.009,0.0,0.0,0.0,-1815.9192287169,2
0.012,0.0,0.0,0.0,-1192.45640561649,2
0.015,0.0,0.0,0.0,-811.322924009548,2
0.018,0.0,0.0,0.0,-557.620548562841,2
0.021,0.0,0.0,0.0,-378.591205992633,2
0.024,0.0,0.0,0.0,-245.766512741821,2
0.027,0.0,0.0,0.0,-143.325040995443,2
0.03,0.0,0.0,0.0,-61.8242761230048,2
0.033,0.0,0.0,0.0,4.64576040378492,2
0.036,0.0,0.0,0.0,59.9573481520773,2
0.039,0.0,0.0,0.0,106.744761317204,2
0.042,0.0,0.0,0.0,146.859200775851,2
0.045,0.0,0.0,0.0,181.63805632998,2
0.048,0.0,0.0,0.0,212.070888975487,2
0.051,0.0,0.0,0.0,238.905299851537,2
0.054,0.0,0.0,0.0,262.716554437976,2
0.057,0.0,0.0,0.0,283.954609860288,2
0.06,0.0,0.0,0.0,302.976635579569,2
0.063,0.0,0.0,0.0,320.069972616828,2
0.066,0.0,0.0,0.0,335.468640767062,2
0.069,0.0,0.0,0.0,349.365399111012,2
0.072,0.0,0.0,0.0,361.920683046725,2
0.075,0.0,0.0,0.0,373.269309270743,2
0.078,0.0,0.0,0.0,383.525560661507,2
0.081,0.0,0.0,0.0,392.787078426142,2
0.084,0.0,0.0,0.0,401.137864675895,2
0.087,0.0,0.0,0.0,408.650613608657,2
0.09,0.0,0.0,0.0,415.388530413671,2
0.093,0.0,0.0,0.0,421.406755383165,2
0.096,0.0,0.0,0.0,426.753480997543,2
0.099,0.0,0.0,0.0,431.470828297901,2
0.102,0.0,0.0,0.0,435.595533228534,2
0.105,0.0,0.0,0.0,439.159482164489,2
0.108,0.0,0.0,0.0,442.190127397793,2
0.111,0.0,0.0,0.0,444.710807152987,2
0.114,0.0,0.0,0.0,446.740990188705,2
0.117,0.0,0.0,0.0,448.296461831108,2
0.12,0.0,0.0,0.0,449.389466103305,2
0.123,0.0,0.0,0.0,450.02881726457,2
0.126,0.0,0.0,0.0,450.219993405627,2
0.129,0.0,0.0,0.0,449.96522463991,2
0.132,0.0,0.0,0.0,449.263588772606,2
0.135,0.0,0.0,0.0,448.111127997371,2
0.138,0.0,0.0,0.0,446.501001016287,2
0.141,0.0,0.0,0.0,444.423685810524,2
0.144,0.0,0.0,0.0,441.867248858188,2
0.147,0.0,0.0,0.0,438.817696585476,2
0.15,0.0,0.0,0.0,435.259423862739,2
0.153,0.0,0.0,0.0,431.175771979503,2
0.156,0.0,0.0,0.0,426.549704295956,2
0.159,0.0,0.0,0.0,421.364601264884,2
0.162,0.0,0.0,0.0,415.605167486629,2
0.165,0.0,0.0,0.0,409.258431915524,2
0.168,0.0,0.0,0.0,402.314808717769,2
0.171,0.0,0.0,0.0,394.769171584894,2
0.174,0.0,0.0,0.0,386.621880170868,2
0.177,0.0,0.0,0.0,377.879685989902,2
0.18,0.0,0.0,0.0,368.556439239977,2
0.183,0.0,0.0,0.0,358.673520261869,2
0.186,0.0,0.0,0.0,348.259931773629,2
0.189,0.0,0.0,0.0,337.352011421668,2
0.192,0.0,0.0,0.0,325.992757441775,2
0.195,0.0,0.0,0.0,314.230799974348,2
0.198,0.0,0.0,0.0,302.119091423708,2
0.201,0.0,0.0,0.0,289.713424525082,2
0.204,0.0,0.0,0.0,277.07090986517,2
0.207,0.0,0.0,0.0,264.248550447888,2
0.21,0.0,0.0,0.0,251.30203734688,2
0.213,0.0,0.0,0.0,238.284858949449,2
0.216,0.0,0.0,0.0,225.247771580041,2
0.219,0.0,0.0,0.0,212.238628640095,2
0.222,0.0,0.0,0.0,199.302517048786,2
0.225,0.0,0.0,0.0,186.48211141628,2
0.228,0.0,0.0,0.0,173.818133946697,2
0.231,0.0,0.0,0.0,161.349804910577,2
0.234,0.0,0.0,0.0,149.115185154323,2
0.237,0.0,0.0,0.0,137.151346319219,2
0.24,0.0,0.0,0.0,125.494351785358,2
0.243,0.0,0.0,0.0,114.179085965082,2
0.246,0.0,0.0,0.0,103.239025250391,2
0.249,0.0,0.0,0.0,92.7060955166566,2
0.252,0.0,0.0,0.0,82.6108060039634,2
0.255,0.0,0.0,0.0,72.9828890978379,2
0.258,0.0,0.0,0.0,63.8527169407177,2
0.261,0.0,0.0,0.0,55.2538228829315,2
0.264,0.0,0.0,0.0,47.2269518510517,2
0.267,0.0,0.0,0.0,39.8262369431866,2
0.27,0.0,0.0,0.0,33.1284110819418,2
0.273,0.0,0.0,0.0,27.2465323664002,2
0.276,0.0,0.0,0.0,22.350684758352,2
0.279,0.0,0.0,0.0,18.7001559987946,2
0.282,0.0,0.0,0.0,16.6940827483676,2
0.285,0.0,0.0,0.0,16.9589201018943,2
0.288,0.0,0.0,0.0,20.4755061037584,2
0.291,0.0,0.0,0.0,28.9067528629284,2
