x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,4704.90909642873,3
0.003,0.0,0.0,0.0,4081.97100660654,2
0.006,0.0,0.0,0.0,3215.14360143568,2
0.009,0.0,0.0,0.0,2713.22809427932,2
0.012,0.0,0.0,0.0,2427.46701054952,2
0.015,0.0,0.0,0.0,2251.20131000892,2
0.018,0.0,0.0,0.0,2135.83603490527,2
0.021,0.0,0.0,0.0,2055.74035412272,2
0.024,0.0,0.0,0.0,1997.48902199466,2
0.027,0.0,0.0,0.0,1953.47772964878,2
0.03,0.0,0.0,0.0,1919.18551403363,2
0.033,0.0,0.0,0.0,1891.77813860291,2
0.036,0.0,0.0,0.0,1869.39943753785,2
0.039,0.0,0.0,0.0,1850.78603807172,2
0.042,0.0,0.0,0.0,1835.04947353144,2
0.045,0.0,0.0,0.0,1821.54721734318,2
0.048,0.0,0.0,0.0,1809.80337940921,2
0.051,0.0,0.0,0.0,1799.4581926992,2
0.054,0.0,0.0,0.0,1790.23482015006,2
0.057,0.0,0.0,0.0,1781.91692431965,2
0.06,0.0,0.0,0.0,1774.33312401091,2
0.063,0.0,0.0,0.0,1767.34597416601,2
0.066,0.0,0.0,0.0,1760.84398636308,2
0.069,0.0,0.0,0.0,1754.73573571432,2
0.072,0.0,0.0,0.0,1748.94542557885,2
0.075,0.0,0.0,0.0,1743.40948707675,2
0.078,0.0,0.0,0.0,1738.07392309578,2
0.081,0.0,0.0,0.0,1732.89219390677,2
0.084,0.0,0.0,0.0,1727.82350018684,2
0.087,0.0,0.0,0.0,1722.83135933543,2
0.09,0.0,0.0,0.0,1717.88239881366,2
0.093,0.0,0.0,0.0,1712.94530990834,2
0.096,0.0,0.0,0.0,1707.98991947095,2
0.099,0.0,0.0,0.0,1702.98634757237,2
0.102,0.0,0.0,0.0,1697.90422684496,2
0.105,0.0,0.0,0.0,1692.71196538563,2
0.108,0.0,0.0,0.0,1687.37604005837,2
0.111,0.0,0.0,0.0,1681.8603112939,2
0.114,0.0,0.0,0.0,1676.12535436081,2
0.117,0.0,0.0,0.0,1670.12780582689,2
0.12,0.0,0.0,0.0,1663.81972773252,2
0.123,0.0,0.0,0.0,1657.14799601031,2
0.126,0.0,0.0,0.0,1650.05372401087,2
0.129,0.0,0.0,0.0,1642.47173669526,2
0.132,0.0,0.0,0.0,1634.33011613501,2
0.135,0.0,0.0,0.0,1625.54984435777,2
0.138,0.0,0.0,0.0,1616.04457513922,2
0.141,0.0,0.0,0.0,1605.72057181186,2
0.144,0.0,0.0,0.0,1594.47685314718,2
0.147,0.0,0.0,0.0,1582.20559333496,2
0.15,0.0,0.0,0.0,1568.79282433682,2
0.153,0.0,0.0,0.0,1554.11948859254,2
0.156,0.0,0.0,0.0,1538.06288625798,2
0.159,0.0,0.0,0.0,1520.49855286521,2
0.162,0.0,0.0,0.0,1501.30258961694,2
0.165,0.0,0.0,0.0,1480.35444880093,2
0.168,0.0,0.0,0.0,1457.54015084181,2
0.171,0.0,0.0,0.0,1432.75587779229,2
0.174,0.0,0.0,0.0,1405.91185200873,2
0.177,0.0,0.0,0.0,1376.93637082113,2
0.18,0.0,0.0,0.0,1345.7798317202,2
0.183,0.0,0.0,0.0,1312.41855233643,2
0.186,0.0,0.0,0.0,1276.85817007212,2
0.189,0.0,0.0,0.0,1239.13640216094,2
0.192,0.0,0.0,0.0,1199.32496146988,2
0.195,0.0,0.0,0.0,1157.53045774096,2
0.198,0.0,0.0,0.0,1113.89416664096,2
0.201,0.0,0.0,0.0,1068.59061542733,2
0.204,0.0,0.0,0.0,1021.82500720991,2
0.207,0.0,0.0,0.0,973.829577276851,2
0.21,0.0,0.0,0.0,924.859036599444,2
0.213,0.0,0.0,0.0,875.18530326558,2
0.216,0.0,0.0,0.0,825.091749372852,2
0.219,0.0,0.0,0.0,774.867199828686,2
0.222,0.0,0.0,0.0,724.799914853955,2
0.225,0.0,0.0,0.0,675.171775968695,2
0.228,0.0,0.0,0.0,626.252882129846,2
0.231,0.0,0.0,0.0,578.296753213878,2
0.234,0.0,0.0,0.0,531.536334486194,2
0.237,0.0,0.0,0.0,486.180998118341,2
0.24,0.0,0.0,0.0,442.414745164141,2
0.243,0.0,0.0,0.0,400.395823369003,2
0.246,0.0,0.0,0.0,360.25799512909,2
0.249,0.0,0.0,0.0,322.113722656137,2
0.252,0.0,0.0,0.0,286.059596750557,2
0.255,0.0,0.0,0.0,252.184442124832,2
0.258,0.0,0.0,0.0,220.580717355052,2
0.261,0.0,0.0,0.0,191.360139806712,2
