x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-2447.53267396716,3
0.003,0.0,0.0,0.0,-1021.71553248233,2
0.006,0.0,0.0,0.0,-271.535468579199,2
0.009,0.0,0.0,0.0,60.4526379971589,2
0.012,0.0,0.0,0.0,256.015794069129,2
0.015,0.0,0.0,0.0,375.381626720332,2
0.018,0.0,0.0,0.0,455.998804934818,2
0.021,0.0,0.0,0.0,513.707250308875,2
0.024,0.0,0.0,0.0,557.226586538195,2
0.027,0.0,0.0,0.0,591.346795177715,2
0.03,0.0,0.0,0.0,618.935130243837,2
0.033,0.0,0.0,0.0,641.785008292752,2
0.036,0.0,0.0,0.0,661.072223908892,2
0.039,0.0,0.0,0.0,677.596589272732,2
0.042,0.0,0.0,0.0,691.91997155155,2
0.045,0.0,0.0,0.0,704.448010680409,2
0.048,0.0,0.0,0.0,715.480579852911,2
0.051,0.0,0.0,0.0,725.244000955102,2
0.054,0.0,0.0,0.0,733.91224152651,2
0.057,0.0,0.0,0.0,741.621226975014,2
0.06,0.0,0.0,0.0,748.478723826937,2
0.063,0.0,0.0,0.0,754.571297695983,2
0.066,0.0,0.0,0.0,759.969293227348,2
0.069,0.0,0.0,0.0,764.730447955716,2
0.072,0.0,0.0,0.0,768.902544530255,2
0.075,0.0,0.0,0.0,772.525374206419,2
0.078,0.0,0.0,0.0,775.632199246568,2
0.081,0.0,0.0,0.0,778.250845508633,2
0.084,0.0,0.0,0.0,780.4045185692,2
0.087,0.0,0.0,0.0,782.112410787821,2
0.09,0.0,0.0,0.0,783.390148732858,2
0.093,0.0,0.0,0.0,784.250117772067,2
0.096,0.0,0.0,0.0,784.701691703378,2
0.099,0.0,0.0,0.0,784.751388953216,2
0.102,0.0,0.0,0.0,784.4029723579,2
0.105,0.0,0.0,0.0,783.657506363445,2
0.108,0.0,0.0,0.0,782.513383282805,2
0.111,0.0,0.0,0.0,780.966328793656,2
0.114,0.0,0.0,0.0,779.009395969669,2
0.117,0.0,0.0,0.0,776.632956683842,2
0.12,0.0,0.0,0.0,773.82469910185,2
0.123,0.0,0.0,0.0,770.56964010982,2
0.126,0.0,0.0,0.0,766.850161813801,2
0.129,0.0,0.0,0.0,762.646081625637,2
0.132,0.0,0.0,0.0,757.934765823351,2
0.135,0.0,0.0,0.0,752.691296744075,2
0.138,0.0,0.0,0.0,746.888703821913,2
0.141,0.0,0.0,0.0,740.498268396547,2
0.144,0.0,0.0,0.0,733.489911456113,2
0.147,0.0,0.0,0.0,725.832672101016,2
0.15,0.0,0.0,0.0,717.495282392347,2
0.153,0.0,0.0,0.0,708.446841269259,2
0.156,0.0,0.0,0.0,698.657586314863,2
0.159,0.0,0.0,0.0,688.099757313505,2
0.162,0.0,0.0,0.0,676.74853985363,2
0.165,0.0,0.0,0.0,664.583070877144,2
0.168,0.0,0.0,0.0,651.587481367531,2
0.171,0.0,0.0,0.0,637.751944739082,2
0.174,0.0,0.0,0.0,623.073693483254,2
0.177,0.0,0.0,0.0,607.5579618663,2
0.18,0.0,0.0,0.0,591.218809594864,2
0.183,0.0,0.0,0.0,574.079780957385,2
0.186,0.0,0.0,0.0,556.174356450662,2
0.189,0.0,0.0,0.0,537.546159529688,2
0.192,0.0,0.0,0.0,518.248889802243,2
0.195,0.0,0.0,0.0,498.345965338402,2
0.198,0.0,0.0,0.0,477.909870092356,2
0.201,0.0,0.0,0.0,457.021216827436,2
0.204,0.0,0.0,0.0,435.767550370533,2
0.207,0.0,0.0,0.0,414.241929498844,2
0.21,0.0,0.0,0.0,392.541337435442,2
0.213,0.0,0.0,0.0,370.764980210266,2
0.216,0.0,0.0,0.0,349.012538742536,2
0.219,0.0,0.0,0.0,327.38244442826,2
0.222,0.0,0.0,0.0,305.970249529176,2
0.225,0.0,0.0,0.0,284.867163195801,2
0.228,0.0,0.0,0.0,264.158822085123,2
0.231,0.0,0.0,0.0,243.92436193283,2
0.234,0.0,0.0,0.0,224.235853934986,2
0.237,0.0,0.0,0.0,205.158168435158,2
0.24,0.0,0.0,0.0,186.749329601531,2
0.243,0.0,0.0,0.0,169.061430438476,2
0.246,0.0,0.0,0.0,152.142190291005,2
0.249,0.0,0.0,0.0,136.037260773901,2
0.252,0.0,0.0,0.0,120.793426328172,2
