x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-94.84275331105,3
0.003,0.0,0.0,0.0,1160.66579855053,2
0.006,0.0,0.0,0.0,1434.49647316425,2
0.009,0.0,0.0,0.0,1469.81536839198,2
0.012,0.0,0.0,0.0,1498.51462048548,2
0.015,0.0,0.0,0.0,1515.11970330912,2
0.018,0.0,0.0,0.0,1529.27174115673,2
0.021,0.0,0.0,0.0,1541.37244981303,2
0.024,0.0,0.0,0.0,1552.16070237528,2
0.027,0.0,0.0,0.0,1561.88902887775,2
0.03,0.0,0.0,0.0,1570.73988275072,2
0.033,0.0,0.0,0.0,1578.8287052829,2
0.036,0.0,0.0,0.0,1586.23665264381,2
0.039,0.0,0.0,0.0,1593.02109466034,2
0.042,0.0,0.0,0.0,1599.22347125124,2
0.045,0.0,0.0,0.0,1604.87414368578,2
0.048,0.0,0.0,0.0,1609.99576589729,2
0.051,0.0,0.0,0.0,1614.60562391678,2
0.054,0.0,0.0,0.0,1618.7172879313,2
0.057,0.0,0.0,0.0,1622.34178106371,2
0.06,0.0,0.0,0.0,1625.48840355478,2
0.063,0.0,0.0,0.0,1628.16530611148,2
0.066,0.0,0.0,0.0,1630.37987749327,2
0.069,0.0,0.0,0.0,1632.13899200757,2
0.072,0.0,0.0,0.0,1633.44914936801,2
0.075,0.0,0.0,0.0,1634.31653020945,2
0.078,0.0,0.0,0.0,1634.74698413362,2
0.081,0.0,0.0,0.0,1634.74596260705,2
0.084,0.0,0.0,0.0,1634.31840577761,2
0.087,0.0,0.0,0.0,1633.4685899332,2
0.09,0.0,0.0,0.0,1632.19994064393,2
0.093,0.0,0.0,0.0,1630.5148154369,2
0.096,0.0,0.0,0.0,1628.41425904089,2
0.099,0.0,0.0,0.0,1625.89773373731,2
0.102,0.0,0.0,0.0,1622.9628271219,2
0.105,0.0,0.0,0.0,1619.60493959834,2
0.108,0.0,0.0,0.0,1615.81695418271,2
0.111,0.0,0.0,0.0,1611.58889169979,2
0.114,0.0,0.0,0.0,1606.90755520683,2
0.117,0.0,0.0,0.0,1601.75616849895,2
0.12,0.0,0.0,0.0,1596.11401484205,2
0.123,0.0,0.0,0.0,1589.95608364906,2
0.126,0.0,0.0,0.0,1583.25273465761,2
0.129,0.0,0.0,0.0,1575.96939126105,2
0.132,0.0,0.0,0.0,1568.06627694872,2
0.135,0.0,0.0,0.0,1559.4982112542,2
0.138,0.0,0.0,0.0,1550.21448408789,2
0.141,0.0,0.0,0.0,1540.15882969493,2
0.144,0.0,0.0,0.0,1529.26952353832,2
0.147,0.0,0.0,0.0,1517.47962691561,2
0.15,0.0,0.0,0.0,1504.71740478575,2
0.153,0.0,0.0,0.0,1490.90694177771,2
0.156,0.0,0.0,0.0,1475.96897931919,2
0.159,0.0,0.0,0.0,1459.82199290808,2
0.162,0.0,0.0,0.0,1442.38352243643,2
0.165,0.0,0.0,0.0,1423.57175994131,2
0.168,0.0,0.0,0.0,1403.30738811755,2
0.171,0.0,0.0,0.0,1381.51564951295,2
0.174,0.0,0.0,0.0,1358.12861093119,2
0.177,0.0,0.0,0.0,1333.08757089599,2
0.18,0.0,0.0,0.0,1306.34554111453,2
0.183,0.0,0.0,0.0,1277.86971704906,2
0.186,0.0,0.0,0.0,1247.64383951907,2
0.189,0.0,0.0,0.0,1215.67034035189,2
0.192,0.0,0.0,0.0,1181.97216202033,2
0.195,0.0,0.0,0.0,1146.59414517292,2
0.198,0.0,0.0,0.0,1109.6038896613,2
0.201,0.0,0.0,0.0,1071.09201407046,2
0.204,0.0,0.0,0.0,1031.17176502697,2
0.207,0.0,0.0,0.0,989.977959097269,2
0.21,0.0,0.0,0.0,947.665274691039,2
0.213,0.0,0.0,0.0,904.405946552561,2
0.216,0.0,0.0,0.0,860.386948721768,2
0.219,0.0,0.0,0.0,815.806781288609,2
0.222,0.0,0.0,0.0,770.87200061573,2
0.225,0.0,0.0,0.0,725.793651663256,2
0.228,0.0,0.0,0.0,680.783775272483,2
0.231,0.0,0.0,0.0,636.052174267835,2
0.234,0.0,0.0,0.0,591.803632233199,2
0.237,0.0,0.0,0.0,548.235790607544,2
0.24,0.0,0.0,0.0,505.537906737527,2
0.243,0.0,0.0,0.0,463.890742031858,2
0.246,0.0,0.0,0.0,423.467871227584,2
0.249,0.0,0.0,0.0,384.438769495846,2
0.252,0.0,0.0,0.0,346.974136653262,2
0.255,0.0,0.0,0.0,311.254077550258,2
0.258,0.0,0.0,0.0,277.480007769126,2
0.261,0.0,0.0,0.0,245.891548765592,2
0.264,0.0,0.0,0.0,216.790308831418,2
0.267,0.0,0.0,0.0,190.573480312288,2
0.27,0.0,0.0,0.0,167.78189978591,2
