x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-4104.07449863368,3
0.003,0.0,0.0,0.0,-1743.96530186333,2
0.006,0.0,0.0,0.0,-428.196034866657,2
0.009,0.0,0.0,0.0,169.819842408027,2
0.012,0.0,0.0,0.0,520.731164086647,2
0.015,0.0,0.0,0.0,735.136137096636,2
0.018,0.0,0.0,0.0,879.433277167753,2
0.021,0.0,0.0,0.0,982.386986628325,2
0.024,0.0,0.0,0.0,1059.74204386887,2
0.027,0.0,0.0,0.0,1120.17950724303,2
0.03,0.0,0.0,0.0,1168.89248484775,2
0.033,0.0,0.0,0.0,1209.13046811142,2
0.036,0.0,0.0,0.0,1243.02377529675,2
0.039,0.0,0.0,0.0,1272.02160602677,2
0.042,0.0,0.0,0.0,1297.14203217488,2
0.045,0.0,0.0,0.0,1319.12002369306,2
0.048,0.0,0.0,0.0,1338.49883689634,2
0.051,0.0,0.0,0.0,1355.68836519468,2
0.054,0.0,0.0,0.0,1371.00354354074,2
0.057,0.0,0.0,0.0,1384.69029508375,2
0.06,0.0,0.0,0.0,1396.94346648702,2
0.063,0.0,0.0,0.0,1407.91947340587,2
0.066,0.0,0.0,0.0,1417.74536977267,2
0.069,0.0,0.0,0.0,1426.52544742841,2
0.072,0.0,0.0,0.0,1434.34609709424,2
0.075,0.0,0.0,0.0,1441.27942362096,2
0.078,0.0,0.0,0.0,1447.3859541793,2
0.081,0.0,0.0,0.0,1452.71667603922,2
0.084,0.0,0.0,0.0,1457.31457187876,2
0.087,0.0,0.0,0.0,1461.21577350812,2
0.09,0.0,0.0,0.0,1464.45042217857,2
0.093,0.0,0.0,0.0,1467.04330059205,2
0.096,0.0,0.0,0.0,1469.01428529526,2
0.099,0.0,0.0,0.0,1470.37865632568,2
0.102,0.0,0.0,0.0,1471.14729243433,2
0.105,0.0,0.0,0.0,1471.32677403516,2
0.108,0.0,0.0,0.0,1470.91941160669,2
0.111,0.0,0.0,0.0,1469.92321417462,2
0.114,0.0,0.0,0.0,1468.33181044518,2
0.117,0.0,0.0,0.0,1466.13433393888,2
0.12,0.0,0.0,0.0,1463.31528295637,2
0.123,0.0,0.0,0.0,1459.854366297,2
0.126,0.0,0.0,0.0,1455.72634627703,2
0.129,0.0,0.0,0.0,1450.90089170015,2
0.132,0.0,0.0,0.0,1445.3424549613,2
0.135,0.0,0.0,0.0,1439.01018934684,2
0.138,0.0,0.0,0.0,1431.85792473741,2
0.141,0.0,0.0,0.0,1423.83422219725,2
0.144,0.0,0.0,0.0,1414.88253016825,2
0.147,0.0,0.0,0.0,1404.94146694483,2
0.15,0.0,0.0,0.0,1393.94525548338,2
