x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-5167.31737971802,3
0.003,0.0,0.0,0.0,-2462.04602159043,2
0.006,0.0,0.0,0.0,-910.586420758392,2
0.009,0.0,0.0,0.0,-196.530667491634,2
0.012,0.0,0.0,0.0,221.719808348978,2
0.015,0.0,0.0,0.0,477.41048492526,2
0.018,0.0,0.0,0.0,649.241899765696,2
0.021,0.0,0.0,0.0,771.681148035714,2
0.024,0.0,0.0,0.0,863.541231705765,2
0.027,0.0,0.0,0.0,935.209172650196,2
0.03,0.0,0.0,0.0,992.894615408057,2
0.033,0.0,0.0,0.0,1040.48225537961,2
0.036,0.0,0.0,0.0,1080.51761525718,2
0.039,0.0,0.0,0.0,1114.73147706106,2
0.042,0.0,0.0,0.0,1144.33896325746,2
0.045,0.0,0.0,0.0,1170.21659741288,2
0.048,0.0,0.0,0.0,1193.01157118379,2
0.051,0.0,0.0,0.0,1213.2114844834,2
0.054,0.0,0.0,0.0,1231.19022872013,2
0.057,0.0,0.0,0.0,1247.23897556731,2
0.06,0.0,0.0,0.0,1261.58759098221,2
0.063,0.0,0.0,0.0,1274.41972948984,2
0.066,0.0,0.0,0.0,1285.88365772665,2
0.069,0.0,0.0,0.0,1296.10013005062,2
0.072,0.0,0.0,0.0,1305.16819001902,2
0.075,0.0,0.0,0.0,1313.16948707467,2
0.078,0.0,0.0,0.0,1320.17151357203,2
0.081,0.0,0.0,0.0,1326.23004559358,2
0.084,0.0,0.0,0.0,1331.39098918099,2
0.087,0.0,0.0,0.0,1335.6917776975,2
0.09,0.0,0.0,0.0,1339.16242730141,2
0.093,0.0,0.0,0.0,1341.8263303577,2
0.096,0.0,0.0,0.0,1343.70084740691,2
0.099,0.0,0.0,0.0,1344.79774464739,2
0.102,0.0,0.0,0.0,1345.12351415493,2
0.105,0.0,0.0,0.0,1344.67960716485,2
0.108,0.0,0.0,0.0,1343.46260591482,2
0.111,0.0,0.0,0.0,1341.46435625167,2
0.114,0.0,0.0,0.0,1338.67208104984,2
0.117,0.0,0.0,0.0,1335.06849317127,2
0.12,0.0,0.0,0.0,1330.63192597283,2
0.123,0.0,0.0,0.0,1325.33649902488,2
0.126,0.0,0.0,0.0,1319.1523365392,2
0.129,0.0,0.0,0.0,1312.04585581367,2
0.132,0.0,0.0,0.0,1303.9801425677,2
0.135,0.0,0.0,0.0,1294.91542913869,2
0.138,0.0,0.0,0.0,1284.80968989537,2
0.141,0.0,0.0,0.0,1273.61936565706,2
0.144,0.0,0.0,0.0,1261.3002251655,2
0.147,0.0,0.0,0.0,1247.8083665555,2
0.15,0.0,0.0,0.0,1233.10135521096,2
0.153,0.0,0.0,0.0,1217.13948639007,2
0.156,0.0,0.0,0.0,1199.88715173964,2
0.159,0.0,0.0,0.0,1181.31427867843,2
0.162,0.0,0.0,0.0,1161.3978012288,2
