x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,633.498671617184,3
0.003,0.0,0.0,0.0,1017.80879109608,2
0.006,0.0,0.0,0.0,1058.60125157158,2
0.009,0.0,0.0,0.0,1041.3713178413,2
0.012,0.0,0.0,0.0,1034.22959792017,2
0.015,0.0,0.0,0.0,1029.34922253377,2
0.018,0.0,0.0,0.0,1027.16958681173,2
0.021,0.0,0.0,0.0,1026.36243437064,2
0.024,0.0,0.0,0.0,1026.40241061896,2
0.027,0.0,0.0,0.0,1026.93327196398,2
0.03,0.0,0.0,0.0,1027.75158815381,2
0.033,0.0,0.0,0.0,1028.72864003132,2
0.036,0.0,0.0,0.0,1029.78100566343,2
0.039,0.0,0.0,0.0,1030.85202520849,2
0.042,0.0,0.0,0.0,1031.90186998731,2
0.045,0.0,0.0,0.0,1032.90166391349,2
0.048,0.0,0.0,0.0,1033.8299436481,2
0.051,0.0,0.0,0.0,1034.67042220703,2
0.054,0.0,0.0,0.0,1035.41051755091,2
0.057,0.0,0.0,0.0,1036.04033907231,2
0.06,0.0,0.0,0.0,1036.55195532385,2
0.063,0.0,0.0,0.0,1036.93883742126,2
0.066,0.0,0.0,0.0,1037.19541327999,2
0.069,0.0,0.0,0.0,1037.316691636,2
0.072,0.0,0.0,0.0,1037.2979291107,2
0.075,0.0,0.0,0.0,1037.13432240638,2
0.078,0.0,0.0,0.0,1036.82071331764,2
0.081,0.0,0.0,0.0,1036.35129791296,2
0.084,0.0,0.0,0.0,1035.71933375005,2
0.087,0.0,0.0,0.0,1034.91684081431,2
0.09,0.0,0.0,0.0,1033.93429331543,2
0.093,0.0,0.0,0.0,1032.76030075005,2
0.096,0.0,0.0,0.0,1031.3812778865,2
0.099,0.0,0.0,0.0,1029.78110466661,2
0.102,0.0,0.0,0.0,1027.94077854301,2
0.105,0.0,0.0,0.0,1025.83806355819,2
0.108,0.0,0.0,0.0,1023.4471425918,2
0.111,0.0,0.0,0.0,1020.73828170586,2
0.114,0.0,0.0,0.0,1017.67751843419,2
0.117,0.0,0.0,0.0,1014.22638918901,2
0.12,0.0,0.0,0.0,1010.3417146407,2
0.123,0.0,0.0,0.0,1005.97546584758,2
0.126,0.0,0.0,0.0,1001.07473785595,2
0.129,0.0,0.0,0.0,995.581861129308,2
0.132,0.0,0.0,0.0,989.434684028741,2
0.135,0.0,0.0,0.0,982.567061033447,2
0.138,0.0,0.0,0.0,974.909580688086,2
0.141,0.0,0.0,0.0,966.390563506585,2
0.144,0.0,0.0,0.0,956.937352322849,2
0.147,0.0,0.0,0.0,946.477905024596,2
0.15,0.0,0.0,0.0,934.942681689069,2
0.153,0.0,0.0,0.0,922.266794844902,2
0.156,0.0,0.0,0.0,908.392363710612,2
0.159,0.0,0.0,0.0,893.270982670433,2
0.162,0.0,0.0,0.0,876.86618402149,2
0.165,0.0,0.0,0.0,859.155749401966,2
0.168,0.0,0.0,0.0,840.133708328943,2
0.171,0.0,0.0,0.0,819.811861057271,2
0.174,0.0,0.0,0.0,798.220680657684,2
0.177,0.0,0.0,0.0,775.409487720311,2
0.18,0.0,0.0,0.0,751.445848972243,2
0.183,0.0,0.0,0.0,726.414222890989,2
0.186,0.0,0.0,0.0,700.413951813842,2
0.189,0.0,0.0,0.0,673.556769224645,2
0.192,0.0,0.0,0.0,645.964040595111,2
0.195,0.0,0.0,0.0,617.763976413417,2
0.198,0.0,0.0,0.0,589.089041661021,2
0.201,0.0,0.0,0.0,560.07373811938,2
0.204,0.0,0.0,0.0,530.852862054348,2
0.207,0.0,0.0,0.0,501.560252673265,2
0.21,0.0,0.0,0.0,472.327961532276,2
0.213,0.0,0.0,0.0,443.285704710633,2
0.216,0.0,0.0,0.0,414.560419881394,2
0.219,0.0,0.0,0.0,386.275746036382,2
0.222,0.0,0.0,0.0,358.551274976554,2
0.225,0.0,0.0,0.0,331.501484994836,2
0.228,0.0,0.0,0.0,305.234347674373,2
