x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,7625.43853167748,3
0.003,0.0,0.0,0.0,6795.91994479232,2
0.006,0.0,0.0,0.0,5639.94404614476,2
0.009,0.0,0.0,0.0,4970.28628718106,2
0.012,0.0,0.0,0.0,4589.10728400193,2
0.015,0.0,0.0,0.0,4354.04988027563,2
0.018,0.0,0.0,0.0,4200.27649823556,2
0.021,0.0,0.0,0.0,4093.57577457623,2
0.024,0.0,0.0,0.0,4016.02745779876,2
0.027,0.0,0.0,0.0,3957.48051122876,2
0.03,0.0,0.0,0.0,3911.89987487852,2
0.033,0.0,0.0,0.0,3875.50217005806,2
0.036,0.0,0.0,0.0,3845.80968461974,2
0.039,0.0,0.0,0.0,3821.13599793927,2
0.042,0.0,0.0,0.0,3800.29506724095,2
0.045,0.0,0.0,0.0,3782.42902811997,2
0.048,0.0,0.0,0.0,3766.90230154548,2
0.051,0.0,0.0,0.0,3753.23414199585,2
0.054,0.0,0.0,0.0,3741.05431287854,2
0.057,0.0,0.0,0.0,3730.07313340111,2
0.06,0.0,0.0,0.0,3720.06072141267,2
0.063,0.0,0.0,0.0,3710.83227553905,2
0.066,0.0,0.0,0.0,3702.23741623892,2
0.069,0.0,0.0,0.0,3694.15231097979,2
0.072,0.0,0.0,0.0,3686.47374344343,2
0.075,0.0,0.0,0.0,3679.11456107156,2
0.078,0.0,0.0,0.0,3672.00011233162,2
0.081,0.0,0.0,0.0,3665.06540164577,2
0.084,0.0,0.0,0.0,3658.25276805849,2
0.087,0.0,0.0,0.0,3651.50994695685,2
0.09,0.0,0.0,0.0,3644.78841098055,2
0.093,0.0,0.0,0.0,3638.0419120887,2
0.096,0.0,0.0,0.0,3631.22516511757,2
0.099,0.0,0.0,0.0,3624.29262642006,2
0.102,0.0,0.0,0.0,3617.19733091727,2
0.105,0.0,0.0,0.0,3609.88975822842,2
0.108,0.0,0.0,0.0,3602.31670427632,2
0.111,0.0,0.0,0.0,3594.42013948962,2
0.114,0.0,0.0,0.0,3586.13603891208,2
0.117,0.0,0.0,0.0,3577.39317357882,2
0.12,0.0,0.0,0.0,3568.11185678335,2
0.123,0.0,0.0,0.0,3558.20264367292,2
0.126,0.0,0.0,0.0,3547.56498830538,2
0.129,0.0,0.0,0.0,3536.08586921031,2
0.132,0.0,0.0,0.0,3523.63840295411,2
0.135,0.0,0.0,0.0,3510.08047552717,2
0.138,0.0,0.0,0.0,3495.25343382171,2
0.141,0.0,0.0,0.0,3478.98089422987,2
0.144,0.0,0.0,0.0,3461.06774247712,2
0.147,0.0,0.0,0.0,3441.29941797652,2
0.15,0.0,0.0,0.0,3419.44159662495,2
0.153,0.0,0.0,0.0,3395.24040692362,2
0.156,0.0,0.0,0.0,3368.42333377998,2
0.159,0.0,0.0,0.0,3338.70097971393,2
0.162,0.0,0.0,0.0,3305.76986093438,2
0.165,0.0,0.0,0.0,3269.31641150276,2
0.168,0.0,0.0,0.0,3229.02234755205,2
0.171,0.0,0.0,0.0,3184.57150013758,2
0.174,0.0,0.0,0.0,3135.65815530338,2
0.177,0.0,0.0,0.0,3081.9968407776,2
0.18,0.0,0.0,0.0,3023.33337113624,2
0.183,0.0,0.0,0.0,2959.45681296994,2
0.186,0.0,0.0,0.0,2890.21187036378,2
0.189,0.0,0.0,0.0,2815.51103720938,2
0.192,0.0,0.0,0.0,2735.34574037222,2
0.195,0.0,0.0,0.0,2649.79563297692,2
0.198,0.0,0.0,0.0,2559.03521416975,2
0.201,0.0,0.0,0.0,2463.33706621117,2
0.204,0.0,0.0,0.0,2363.07121238664,2
0.207,0.0,0.0,0.0,2258.70039185084,2
0.21,0.0,0.0,0.0,2150.77138323672,2
0.213,0.0,0.0,0.0,2039.90283770076,2
0.216,0.0,0.0,0.0,1926.7703517948,2
0.219,0.0,0.0,0.0,1812.08967992905,2
0.222,0.0,0.0,0.0,1696.59903663585,2
