x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-5907.76733942148,3
0.003,0.0,0.0,0.0,-3340.42153414774,2
0.006,0.0,0.0,0.0,-1741.21784711534,2
0.009,0.0,0.0,0.0,-979.205124820882,2
0.012,0.0,0.0,0.0,-535.342215151656,2
0.015,0.0,0.0,0.0,-263.874154273738,2
0.018,0.0,0.0,0.0,-82.4332864035195,2
0.021,0.0,0.0,0.0,46.1520730683513,2
0.024,0.0,0.0,0.0,142.020093492582,2
0.027,0.0,0.0,0.0,216.334017285983,2
0.03,0.0,0.0,0.0,275.758682780379,2
0.033,0.0,0.0,0.0,324.463601181147,2
0.036,0.0,0.0,0.0,365.179845506809,2
0.039,0.0,0.0,0.0,399.764268424344,2
0.042,0.0,0.0,0.0,429.520717942873,2
0.045,0.0,0.0,0.0,455.390138952295,2
0.048,0.0,0.0,0.0,478.067779321168,2
0.051,0.0,0.0,0.0,498.077946593491,2
0.054,0.0,0.0,0.0,515.823164806485,2
0.057,0.0,0.0,0.0,531.617366319472,2
0.06,0.0,0.0,0.0,545.708832437012,2
0.063,0.0,0.0,0.0,558.296376496131,2
0.066,0.0,0.0,0.0,569.540967050654,2
0.069,0.0,0.0,0.0,579.574209033197,2
0.072,0.0,0.0,0.0,588.5046190136,2
0.075,0.0,0.0,0.0,596.422325684445,2
0.078,0.0,0.0,0.0,603.402629330812,2
0.081,0.0,0.0,0.0,609.50872373152,2
0.084,0.0,0.0,0.0,614.793796330312,2
0.087,0.0,0.0,0.0,619.302662636595,2
0.09,0.0,0.0,0.0,623.07304927213,2
0.093,0.0,0.0,0.0,626.136610863315,2
0.096,0.0,0.0,0.0,628.519745173306,2
0.099,0.0,0.0,0.0,630.244255879687,2
0.102,0.0,0.0,0.0,631.327901482005,2
0.105,0.0,0.0,0.0,631.784860769285,2
0.108,0.0,0.0,0.0,631.626139251834,2
0.111,0.0,0.0,0.0,630.859936366374,2
0.114,0.0,0.0,0.0,629.491989662817,2
0.117,0.0,0.0,0.0,627.52590924942,2
0.12,0.0,0.0,0.0,624.96351326239,2
0.123,0.0,0.0,0.0,621.805172843838,2
0.126,0.0,0.0,0.0,618.050172909088,2
0.129,0.0,0.0,0.0,613.697092748577,2
0.132,0.0,0.0,0.0,608.744208163887,2
0.135,0.0,0.0,0.0,603.189914341731,2
0.138,0.0,0.0,0.0,597.033166024117,2
0.141,0.0,0.0,0.0,590.273928782578,2
0.144,0.0,0.0,0.0,582.913632442088,2
0.147,0.0,0.0,0.0,574.95561506785,2
0.15,0.0,0.0,0.0,566.405543611749,2
