x,y,ux,uy,p,boundary
0.0,0.0,0.0,0.0,-46.7847449972584,3
0.003,0.0,0.0,0.0,1554.80152380209,2
0.006,0.0,0.0,0.0,2066.17677272138,2
0.009,0.0,0.0,0.0,2218.67140285783,2
0.012,0.0,0.0,0.0,2315.55980348028,2
0.015,0.0,0.0,0.0,2374.13088564425,2
0.018,0.0,0.0,0.0,2416.39666441579,2
0.021,0.0,0.0,0.0,2448.50027622988,2
0.024,0.0,0.0,0.0,2474.27119177556,2
0.027,0.0,0.0,0.0,2495.68184915105,2
0.03,0.0,0.0,0.0,2513.94040288832,2
0.033,0.0,0.0,0.0,2529.80389872918,2
0.036,0.0,0.0,0.0,2543.77339921303,2
0.039,0.0,0.0,0.0,2556.19145972075,2
0.042,0.0,0.0,0.0,2567.29941730612,2
0.045,0.0,0.0,0.0,2577.27147569498,2
0.048,0.0,0.0,0.0,2586.23606992572,2
0.051,0.0,0.0,0.0,2594.28965790312,2
0.054,0.0,0.0,0.0,2601.50587987158,2
0.057,0.0,0.0,0.0,2607.94177388011,2
0.06,0.0,0.0,0.0,2613.6420646944,2
0.063,0.0,0.0,0.0,2618.64215629819,2
0.066,0.0,0.0,0.0,2622.97022962177,2
0.069,0.0,0.0,0.0,2626.64870758527,2
0.072,0.0,0.0,0.0,2629.69526212797,2
0.075,0.0,0.0,0.0,2632.12348178593,2
0.078,0.0,0.0,0.0,2633.94328159502,2
0.081,0.0,0.0,0.0,2635.16111252147,2
0.084,0.0,0.0,0.0,2635.78001094066,2
0.087,0.0,0.0,0.0,2635.79951722452,2
0.09,0.0,0.0,0.0,2635.21548457529,2
0.093,0.0,0.0,0.0,2634.01979378913,2
0.096,0.0,0.0,0.0,2632.19998596219,2
0.099,0.0,0.0,0.0,2629.73882283026,2
0.102,0.0,0.0,0.0,2626.61378319156,2
0.105,0.0,0.0,0.0,2622.79650354244,2
0.108,0.0,0.0,0.0,2618.25217157687,2
0.111,0.0,0.0,0.0,2612.93888253346,2
0.114,0.0,0.0,0.0,2606.80697052295,2
