x,y,ux,uy,p
0,0,0,0,-2729.26968231013
0.003,0,0,0,-957.098111666701
0.006,0,0,0,29.1006899833666
0.009,0,0,0,477.277308475577
0.012,0,0,0,740.280770379291
0.015,0,0,0,900.998105110226
0.018,0,0,0,1009.19416800214
0.021,0,0,0,1086.41953849395
0.024,0,0,0,1144.46763090282
0.027,0,0,0,1189.83848793363
0.03,0,0,0,1226.41914720192
0.033,0,0,0,1256.64095955348
0.036,0,0,0,1282.09733062289
0.039,0,0,0,1303.87185321801
0.042,0,0,0,1322.72550503794
0.045,0,0,0,1339.20744396735
0.048,0,0,0,1353.72337217306
0.051,0,0,0,1366.57915346753
0.054,0,0,0,1378.00949211209
0.057,0,0,0,1388.19728230152
0.06,0,0,0,1397.28695802644
0.063,0,0,0,1405.39388056667
0.066,0,0,0,1412.61104582484
0.069,0,0,0,1419.01393894799
0.072,0,0,0,1424.66408242051
0.075,0,0,0,1429.61164555337
0.078,0,0,0,1433.89736780868
0.081,0,0,0,1437.55397207682
0.084,0,0,0,1440.60719268182
0.087,0,0,0,1443.07650781376
0.09,0,0,0,1444.97564181781
0.093,0,0,0,1446.31288582779
0.096,0,0,0,1447.0912733717
0.099,0,0,0,1447.3086393281
0.102,0,0,0,1446.95758501109
0.105,0,0,0,1446.02536857515
0.108,0,0,0,1444.49373794408
0.111,0,0,0,1442.33872281508
0.114,0,0,0,1439.53040279783
0.117,0,0,0,1436.03267030339
0.12,0,0,0,1431.80300930975
0.123,0,0,0,1426.79231449962
0.126,0,0,0,1420.94477935538
0.129,0,0,0,1414.19788639143
0.132,0,0,0,1406.48253748023
0.135,0,0,0,1397.72336670587
0.138,0,0,0,1387.83928169197
0.141,0,0,0,1376.74428102555
0.144,0,0,0,1364.34859415524
0.147,0,0,0,1350.56018474213
0.15,0,0,0,1335.28664759562
0.153,0,0,0,1318.43751187615
0.156,0,0,0,1299.92693843803
0.159,0,0,0,1279.67676701506
0.162,0,0,0,1257.61983055274
0.165,0,0,0,1233.70341198045
0.168,0,0,0,1207.89267739372
0.171,0,0,0,1180.17388485853
0.174,0,0,0,1150.55714678318
0.177,0,0,0,1119.07852296127
0.18,0,0,0,1085.80124640746
0.183,0,0,0,1050.81593718877
0.186,0,0,0,1014.23973803168
0.189,0,0,0,976.21440142528
0.192,0,0,0,936.90345801142
0.195,0,0,0,896.488683901408
0.198,0,0,0,855.166144007729
0.201,0,0,0,813.142107413363
0.204,0,0,0,770.629104575355
0.207,0,0,0,727.842329423259
0.21,0,0,0,684.996495663576
0.213,0,0,0,642.303155428383
0.216,0,0,0,599.968401117858
0.219,0,0,0,558.19081605484
0.222,0,0,0,517.159527352119
0.225,0,0,0,477.052246626351
0.228,0,0,0,438.03325278409
0.231,0,0,0,400.251360685037
0.234,0,0,0,363.838011339981
0.237,0,0,0,328.905696012221
0.24,0,0,0,295.546976270452
0.243,0,0,0,263.834381126152
0.246,0,0,0,233.821456508265
0.249,0,0,0,205.545225341447
0.252,0,0,0,179.030308485936
0.255,0,0,0,154.294982261177
0.258,0,0,0,131.359535927164
0.261,0,0,0,110.257478377414
0.264,0,0,0,91.0504787982805
0.267,0,0,0,73.8484963380304
0.27,0,0,0,58.8375028343789
0.273,0,0,0,46.3188331260893
0.276,0,0,0,36.7668894820115
0.279,0,0,0,30.9174006476062
0.282,0,0,0,29.9046800051586
0.285,0,0,0,35.4968059827942
0.288,0,0,0,50.428366429123
0.291,0,0,0,79.27147584482
0.294,0,0,0,128.080590807462
0.297,0,0,0,212.015433198462
0.3,0,0,0,320.602269072344
0,0.002,3,6,-1317.92656403249
0.003,0.002,0.154125802666218,0.135534412067661,-584.436846533491
0.006,0.002,-0.178154543020229,0.073818605944886,95.9691944732497
0.009,0.002,-0.23248655838662,-0.0264298635656263,507.964928927005
0.012,0.002,-0.22149724107382,-0.0246556825854895,748.651830819643
0.015,0.002,-0.197888073206066,-0.0215297284608158,903.942770670192
