x,y,ux,uy,p
0,0,0,0,-1888.30893099194
0.003,0,0,0,-948.667397818327
0.006,0,0,0,-384.390325465748
0.009,0,0,0,-119.194426315548
0.012,0,0,0,35.5882523992301
0.015,0,0,0,130.202281221459
0.018,0,0,0,193.539704347926
0.021,0,0,0,238.488118405457
0.024,0,0,0,272.050262742495
0.027,0,0,0,298.102458455228
0.03,0,0,0,318.960685640579
0.033,0,0,0,336.074346599855
0.036,0,0,0,350.393519258685
0.039,0,0,0,362.564747126609
0.042,0,0,0,373.042573114006
0.045,0,0,0,382.155550821402
0.048,0,0,0,390.146953764
0.051,0,0,0,397.200743908377
0.054,0,0,0,403.458648178132
0.057,0,0,0,409.031687572851
0.06,0,0,0,414.008143001147
0.063,0,0,0,418.459171259419
0.066,0,0,0,422.442834566886
0.069,0,0,0,426.007036200469
0.072,0,0,0,429.191687340093
0.075,0,0,0,432.030324173535
0.078,0,0,0,434.551325617826
0.081,0,0,0,436.778836614501
0.084,0,0,0,438.733471390012
0.087,0,0,0,440.432850142149
0.09,0,0,0,441.89200805734
0.093,0,0,0,443.123705297834
0.096,0,0,0,444.138659266759
0.099,0,0,0,444.94571516812
0.102,0,0,0,445.551967029271
0.105,0,0,0,445.962838540266
0.108,0,0,0,446.182131011264
0.111,0,0,0,446.212044266499
0.114,0,0,0,446.053175251297
0.117,0,0,0,445.704498438937
0.12,0,0,0,445.163331727477
0.123,0,0,0,444.425291374252
0.126,0,0,0,443.484239602729
0.129,0,0,0,442.332228816822
0.132,0,0,0,440.959446859826
0.135,0,0,0,439.354168446609
0.138,0,0,0,437.50271876095
0.141,0,0,0,435.389456216347
0.144,0,0,0,432.996782482032
0.147,0,0,0,430.305189006089
0.15,0,0,0,427.293350322616
0.153,0,0,0,423.938275270868
0.156,0,0,0,420.215527701093
0.159,0,0,0,416.099528074296
0.162,0,0,0,411.563946329854
0.165,0,0,0,406.582194231457
0.168,0,0,0,401.128021863374
0.171,0,0,0,395.176217856849
0.174,0,0,0,388.703406227855
0.177,0,0,0,381.688924544256
0.18,0,0,0,374.115758913325
0.183,0,0,0,365.971501694045
0.186,0,0,0,357.249288903147
0.189,0,0,0,347.948667254106
0.192,0,0,0,338.076337000116
0.195,0,0,0,327.646717479431
0.198,0,0,0,316.682288316592
0.201,0,0,0,305.213670765289
0.204,0,0,0,293.279429949777
0.207,0,0,0,280.925598104535
0.21,0,0,0,268.204938915053
0.213,0,0,0,255.175990990653
0.216,0,0,0,241.901941879572
0.219,0,0,0,228.449391264181
0.222,0,0,0,214.887062768715
0.225,0,0,0,201.284519348413
0.228,0,0,0,187.710929886925
0.231,0,0,0,174.233927408129
0.234,0,0,0,160.91859508251
0.237,0,0,0,147.82661705378
0.24,0,0,0,135.015637935699
0.243,0,0,0,122.538887435545
0.246,0,0,0,110.445144167943
0.249,0,0,0,98.779134842087
0.252,0,0,0,87.5824925329087
0.255,0,0,0,76.8954341734747
0.258,0,0,0,66.7593702141366
0.261,0,0,0,57.220742050401
0.264,0,0,0,48.3365180825449
0.267,0,0,0,40.1820064047838
0.27,0,0,0,32.8620269731744
0.273,0,0,0,26.5271634400412
0.276,0,0,0,21.3979567336879
0.279,0,0,0,17.8022546052919
0.282,0,0,0,16.2337063533735
0.285,0,0,0,17.4525499529864
0.288,0,0,0,22.6301254393322
0.291,0,0,0,33.7255528760157
0.294,0,0,0,53.363131394272
0.297,0,0,0,88.0839455393922
0.3,0,0,0,133.578958399665
0,0.002,1,3,-1187.75750714461
0.003,0.002,-0.207314807888051,0.0302129429424134,-765.924727311082
0.006,0.002,-0.310784527689159,0.00426828675710929,-353.753614314161
0.009,0.002,-0.292781105215366,-0.0359548319063693,-107.658098100091
0.012,0.002,-0.255315395054425,-0.0282678027939959,36.7259067122043
0.015,0.002,-0.220310053874977,-0.0221623392227336,129.223411862984
0.018,0.002,-0.191515457691916,-0.0168089499167491,191.815032877538
0.021,0.002,-0.1682542958206,-0.0130589323861801,236.703640759628
0.024,0.002,-0.149305790314512,-0.0104029100894898,270.368767219218
0.027,0.002,-0.13358575421943,-0.00851769476341474,296.568655910914
0.03,0.002,-0.120273599554057,-0.00715419599070551,317.568857886127
0.033,0.002,-0.108769731176908,-0.00614999939665873,334.806214922779
0.036,0.002,-0.0986392437697023,-0.00539695231365223,349.228810085941
0.039,0.002,-0.0895646967511896,-0.00482287272004566,361.485151087323
0.042,0.002,-0.0813119467531411,-0.00437863751572836,372.03264264542
0.045,0.002,-0.0737062132778618,-0.00403020365502655,381.202639399994
0.048,0.002,-0.0666154607171257,-0.00375353742962509,389.240837422408
0.051,0.002,-0.0599387893853349,-0.00353138586742687,396.333192226334
0.054,0.002,-0.0535982350368551,-0.00335118071510721,402.623031470881
0.057,0.002,-0.047532896413211,-0.00320365335511973,408.222644548236
0.06,0.002,-0.0416946693327333,-0.00308190167875654,413.221308797354
0.063,0.002,-0.0360451035704511,-0.00298074967843739,417.690958130124
0.066,0.002,-0.0305530553420935,-0.00289630001655773,421.690255971543
0.069,0.002,-0.0251929115024542,-0.00282561609641736,425.267565801347
0.072,0.002,-0.0199432303028413,-0.00276649251860959,428.463145779837
0.075,0.002,-0.0147856897895066,-0.00271728682981794,431.310787903499
0.078,0.002,-0.00970426641574287,-0.00267679440938607,433.839053264265
0.081,0.002,-0.00468458816856619,-0.00264415412934632,436.072209364996
0.084,0.002,0.000286578294275951,-0.0026187762322631,438.030944673605
0.087,0.002,0.0052217362271212,-0.00260028641240339,439.732914498131
0.09,0.002,0.0101329850777931,-0.00258848180325001,441.1931575752
0.093,0.002,0.0150322807815699,-0.00258329574845356,442.4244123956
0.096,0.002,0.0199316421690721,-0.00258476904358972,443.437354882136
0.099,0.002,0.0248433123938108,-0.00259302589941992,444.240773686283
0.102,0.002,0.0297798818047286,-0.00260825327095983,444.841695478196
0.105,0.002,0.0347543767125472,-0.0026306824723855,445.245469760447
0.108,0.002,0.0397803168771817,-0.0026605721911569,445.455820660276
0.111,0.002,0.0448717431720551,-0.0026981921506581,445.474871656043
0.114,0.002,0.0500432156871771,-0.00274380676731569,445.303148139215
0.117,0.002,0.0553097814682699,-0.00279765821955467,444.939562013302
0.12,0.002,0.0606869101262055,-0.00285994840363545,444.381382124572
0.123,0.002,0.0661903946796745,-0.00293081930580373,443.624194165527
0.126,0.002,0.0718362142218695,-0.00301033138146208,442.661853764118
0.129,0.002,0.0776403543546339,-0.00309843961085073,441.486436751315
0.132,0.002,0.0836185808560071,-0.00319496700844574,440.088191072739
0.135,0.002,0.0897861618056821,-0.00329957551228704,438.455495461663
0.138,0.002,0.0961575334765308,-0.00341173438268546,436.574830800611
0.141,0.002,0.102745905821112,-0.00353068650993488,434.430771035831
0.144,0.002,0.109562804473247,-0.00365541337868009,432.006001525248
0.147,0.002,0.11661754799541,-0.00378459986914433,429.281373725153
0.15,0.002,0.123916661786714,-0.00391660059148084,426.236006053707
0.153,0.002,0.131463233764419,-0.00404941003590445,422.847441475849
0.156,0.002,0.139256221744484,-0.00418063944734262,419.091872663039
0.159,0.002,0.147289728396991,-0.0043075039456281,414.944445286433
0.162,0.002,0.155552266640388,-0.00442682392990076,410.379648871696
0.165,0.002,0.164026046089682,-0.00453504511910267,405.371802439081
0.168,0.002,0.172686319187976,-0.00462828155401721,399.895638658702
0.171,0.002,0.181500833166037,-0.00470238537104033,393.926985320523
0.174,0.002,0.190429439959884,-0.00475304601249804,387.443536525965
0.177,0.002,0.199423919415114,-0.00477591966256035,380.425698310556
0.18,0.002,0.208428070149924,-0.00476678707502153,372.857484800336
0.183,0.002,0.217378116050092,-0.00472173470217962,364.7274321592
0.186,0.002,0.226203463598632,-0.00463735042223652,356.029489440985
0.189,0.002,0.234827825848442,-0.00451092165486554,346.763839168641
0.192,0.002,0.243170703563965,-0.0043406208590724,336.937597248145
0.195,0.002,0.251149184816403,-0.00412566199613397,326.565342783933
0.198,0.002,0.25867999423394,-0.00386641210722697,315.669434214945
0.201,0.002,0.265681696188546,-0.0035644450393774,304.280079031674
0.204,0.002,0.272076936708672,-0.00322252947059935,292.435139462261
0.207,0.002,0.277794600483347,-0.00284455013090455,280.179674401739
0.21,0.002,0.282771764031976,-0.00243536839690379,267.56523632217
0.213,0.002,0.286955343693622,-0.00200063486406509,254.648958487199
0.216,0.002,0.29030336468978,-0.00154657071531063,241.492480292909
0.219,0.002,0.292785810110018,-0.00107973576672752,228.160765540538
0.222,0.002,0.294385040135092,-0.000606798769331279,214.720869665404
0.225,0.002,0.295095796416699,-0.000134320520412553,201.240708442245
0.228,0.002,0.294924820431334,0.000331446052803451,187.787874570403
0.231,0.002,0.293890116875164,0.000784740721480132,174.428542476617
0.234,0.002,0.292019885935604,0.00122047171196222,161.226498221129
0.237,0.002,0.289351136158507,0.00163438964319341,148.242332427409
0.24,0.002,0.285927978290229,0.0020232651060527,135.532840535661
0.243,0.002,0.281799595052522,0.00238507123483605,123.150686307449
0.246,0.002,0.277017885634273,0.00271916744161451,111.144400786336
0.249,0.002,0.271634797727085,0.00302647555253004,99.5588095230341
0.252,0.002,0.265699383243863,0.00330963573645178,88.4360067112351
0.255,0.002,0.259254645037868,0.00357312669605143,77.8170291465868
0.258,0.002,0.252334281554105,0.00382333096061322,67.7444322951099
0.261,0.002,0.244959490499973,0.00406851800227774,58.2660469953612
0.264,0.002,0.237136078536265,0.0043186976770563,49.4403180228958
0.267,0.002,0.228852280511478,0.00458524972585812,41.3438267274818
0.27,0.002,0.220078001152245,0.00488012608226809,34.0819350144556
0.273,0.002,0.21076683391139,0.00521419104834884,27.8040389784921
0.276,0.002,0.20086358144957,0.00559363824854547,22.7258948747187
0.279,0.002,0.19032307816768,0.00601231683268012,19.1628626350551
0.282,0.002,0.179153206251361,0.00643251126883438,17.5814114315081
0.285,0.002,0.167513010851168,0.00674492444745052,18.6747260745109
0.288,0.002,0.155943363901119,0.0066174403439897,23.4960247460299
0.291,0.002,0.145946549997564,0.00531038211746229,33.5344978467445
0.294,0.002,0.14165421902423,-0.000661681491173418,51.1411873838334
0.297,0.002,0.154339959018953,-0.015200389014619,76.7366876069237
0.3,0.002,0.251689450660164,-0.150510361460169,102.325690890466
0,0.004,1,3,-383.913165342454
0.003,0.004,0.293842021227523,0.671658007692582,-436.101192241531
0.006,0.004,-0.246361538689075,0.0441178842185581,-237.281573647064
0.009,0.004,-0.352035546816686,-0.0354875159066902,-68.1928905496937
