x,y,ux,uy,p
0,0,0,0,-3298.91160972783
0.003,0,0,0,-1769.3318553975
0.006,0,0,0,-876.451470180389
0.009,0,0,0,-461.965368347349
0.012,0,0,0,-219.651839772565
0.015,0,0,0,-71.6299780918332
0.018,0,0,0,27.5841440072582
0.021,0,0,0,98.066924419467
0.024,0,0,0,150.757028287151
0.027,0,0,0,191.701657307948
0.03,0,0,0,224.516034585405
0.033,0,0,0,251.463009752952
0.036,0,0,0,274.026320510465
0.039,0,0,0,293.215857855314
0.042,0,0,0,309.741690412544
0.045,0,0,0,324.117089431858
0.048,0,0,0,336.722098668388
0.051,0,0,0,347.844106477016
0.054,0,0,0,357.704539656528
0.057,0,0,0,366.476894957986
0.06,0,0,0,374.29920369229
0.063,0,0,0,381.282823267145
0.066,0,0,0,387.518747664734
0.069,0,0,0,393.082206320367
0.072,0,0,0,398.036059600761
0.075,0,0,0,402.433333548489
0.078,0,0,0,406.319129339358
0.081,0,0,0,409.732072041516
0.084,0,0,0,412.705415576592
0.087,0,0,0,415.267888154633
0.09,0,0,0,417.444339797895
0.093,0,0,0,419.256237630092
0.096,0,0,0,420.722043271216
0.099,0,0,0,421.857498544297
0.102,0,0,0,422.675839831102
0.105,0,0,0,423.187957169822
0.108,0,0,0,423.402511128341
0.111,0,0,0,423.326018302168
0.114,0,0,0,422.962914754953
0.117,0,0,0,422.31560567856
0.12,0,0,0,421.384508874116
0.123,0,0,0,420.168099244415
0.126,0,0,0,418.662961254607
0.129,0,0,0,416.863856181971
0.132,0,0,0,414.76381085796
0.135,0,0,0,412.354234426594
0.138,0,0,0,409.625069320004
0.141,0,0,0,406.564982100469
0.144,0,0,0,403.161598956612
0.147,0,0,0,399.401789395272
0.15,0,0,0,395.27199998223
0.153,0,0,0,390.758637823828
0.156,0,0,0,385.848500856485
0.159,0,0,0,380.529248983054
0.162,0,0,0,374.789906787243
0.165,0,0,0,368.621385161474
0.168,0,0,0,362.017005957626
0.171,0,0,0,354.973011026032
0.174,0,0,0,347.489035086405
0.177,0,0,0,339.568521106499
0.18,0,0,0,331.21905752403
0.183,0,0,0,322.452618897938
0.186,0,0,0,313.285695420941
0.189,0,0,0,303.739301978547
0.192,0,0,0,293.838863713428
0.195,0,0,0,283.613981789794
0.198,0,0,0,273.09808958399
0.201,0,0,0,262.328015175827
0.204,0,0,0,251.343470198837
0.207,0,0,0,240.186487449209
0.21,0,0,0,228.900830058393
0.213,0,0,0,217.531393724293
0.216,0,0,0,206.12362098335
0.219,0,0,0,194.722943517165
0.222,0,0,0,183.37426584587
0.225,0,0,0,172.121502255709
0.228,0,0,0,161.007179080078
0.231,0,0,0,150.072116919299
0.234,0,0,0,139.355212230074
