x,y,ux,uy,p
0,0,0,0,-930.524112409742
0.003,0,0,0,288.177431570376
0.006,0,0,0,752.809300892428
0.009,0,0,0,919.426842063516
0.012,0,0,0,1021.07597170527
0.015,0,0,0,1082.64288764548
0.018,0,0,0,1125.51306424318
0.021,0,0,0,1157.06247076917
0.024,0,0,0,1181.58540920101
0.027,0,0,0,1201.37036375985
0.03,0,0,0,1217.80087652193
0.033,0,0,0,1231.74260230307
0.036,0,0,0,1243.76540260893
0.039,0,0,0,1254.25784034974
0.042,0,0,0,1263.49340204866
0.045,0,0,0,1271.66976827431
0.048,0,0,0,1278.93321261798
0.051,0,0,0,1285.39424397149
0.054,0,0,0,1291.13793072521
0.057,0,0,0,1296.23087641177
0.06,0,0,0,1300.72602429094
0.063,0,0,0,1304.66601547499
0.066,0,0,0,1308.08555943807
0.069,0,0,0,1311.01311467123
0.072,0,0,0,1313.47207704506
0.075,0,0,0,1315.48160959091
0.078,0,0,0,1317.05720585496
0.081,0,0,0,1318.21105143004
0.084,0,0,0,1318.95222972885
0.087,0,0,0,1319.28680544637
0.09,0,0,0,1319.21781053793
0.093,0,0,0,1318.74515168023
0.096,0,0,0,1317.86545429482
0.099,0,0,0,1316.57185578296
0.102,0,0,0,1314.8537593133
0.105,0,0,0,1312.69655909979
0.108,0,0,0,1310.08134846159
0.111,0,0,0,1306.98462296564
0.114,0,0,0,1303.37799253531
0.117,0,0,0,1299.2279184829
0.12,0,0,0,1294.49549389528
0.123,0,0,0,1289.1362885413
0.126,0,0,0,1283.10028230112
0.129,0,0,0,1276.33191380265
0.132,0,0,0,1268.77027317409
0.135,0,0,0,1260.34946918869
0.138,0,0,0,1250.99920111195
0.141,0,0,0,1240.64556372335
0.144,0,0,0,1229.2121097043
0.147,0,0,0,1216.62118632237
0.15,0,0,0,1202.79555267237
0.153,0,0,0,1187.66026945618
0.156,0,0,0,1171.14483554554
0.159,0,0,0,1153.18552500752
0.162,0,0,0,1133.72785609815
0.165,0,0,0,1112.72910179422
0.168,0,0,0,1090.16073215785
0.171,0,0,0,1066.01066501932
0.174,0,0,0,1040.28519596572
0.177,0,0,0,1013.01048384103
0.18,0,0,0,984.233485302211
0.183,0,0,0,954.022261315178
0.186,0,0,0,922.465617812489
0.189,0,0,0,889.672088155791
0.192,0,0,0,855.768311105852
0.195,0,0,0,820.896898544121
0.198,0,0,0,785.213916469547
0.201,0,0,0,748.886116694694
0.204,0,0,0,712.088053679724
0.207,0,0,0,674.999202662827
0.21,0,0,0,637.801166169058
0.213,0,0,0,600.675022647678
0.216,0,0,0,563.798840631923
0.219,0,0,0,527.345360834525
0.222,0,0,0,491.479841236242
0.225,0,0,0,456.358067790528
0.228,0,0,0,422.124554108969
0.231,0,0,0,388.910983250942
0.234,0,0,0,356.834978147108
0.237,0,0,0,325.99931915076
0.24,0,0,0,296.491754383602
0.243,0,0,0,268.385570465321
0.246,0,0,0,241.74111103295
0.249,0,0,0,216.608455245954
0.252,0,0,0,193.031509499742
0.255,0,0,0,171.053838980687
0.258,0,0,0,150.726694463293
0.261,0,0,0,132.119908234233
0.264,0,0,0,115.336695800288
0.267,0,0,0,100.534001767885
0.27,0,0,0,87.9510290579161
0.273,0,0,0,77.9503349010721
0.276,0,0,0,71.0787696250747
0.279,0,0,0,68.1616696963228
0.282,0,0,0,70.4502670330436
0.285,0,0,0,79.8798879750378
0.288,0,0,0,99.4310886706059
0.291,0,0,0,134.17360935683
0.294,0,0,0,190.787579870526
0.297,0,0,0,288.245498017142
0.3,0,0,0,419.863457367538
0,0.002,5,5,284.400037051668
0.003,0.002,1.55332610161009,0.299829750625732,616.734889837325
0.006,0.002,0.964160660154864,0.224381126245666,822.321224734575
0.009,0.002,0.69356914913306,0.0914762247110705,963.976701940112
0.012,0.002,0.54320350244311,0.059033854460861,1043.25263046806
0.015,0.002,0.447018013859185,0.0390167725688139,1097.34932534731
