x,y,ux,uy,p
0,0,0,0,-1373.09592008739
0.003,0,0,0,-294.038343657618
0.006,0,0,0,219.879944017104
0.009,0,0,0,435.510057310047
0.012,0,0,0,563.469360263541
0.015,0,0,0,641.319433216495
0.018,0,0,0,694.189758111453
0.021,0,0,0,732.210323415987
0.024,0,0,0,761.029038459757
0.027,0,0,0,783.728377532136
0.03,0,0,0,802.15844970983
0.033,0,0,0,817.477289560793
0.036,0,0,0,830.445482999988
0.039,0,0,0,841.581297015257
0.042,0,0,0,851.249559323101
0.045,0,0,0,859.714307026955
0.048,0,0,0,867.17135081872
0.051,0,0,0,873.769091024833
0.054,0,0,0,879.622228336526
0.057,0,0,0,884.821025975037
0.06,0,0,0,889.437703965302
0.063,0,0,0,893.530934481648
0.066,0,0,0,897.149049336945
0.069,0,0,0,900.33235466085
0.072,0,0,0,903.114813913956
0.075,0,0,0,905.525275320778
0.078,0,0,0,907.588364550924
0.081,0,0,0,909.325126852674
0.084,0,0,0,910.753478116496
0.087,0,0,0,911.888507376876
0.09,0,0,0,912.742661451368
0.093,0,0,0,913.325834108936
0.096,0,0,0,913.645376283984
0.099,0,0,0,913.706039709037
0.102,0,0,0,913.509863471013
0.105,0,0,0,913.056011106973
0.108,0,0,0,912.340564757823
0.111,0,0,0,911.356282480583
0.114,0,0,0,910.092325022367
0.117,0,0,0,908.533959159372
0.12,0,0,0,906.66224610271
0.123,0,0,0,904.453725481935
0.126,0,0,0,901.880108046735
0.129,0,0,0,898.907993470085
0.132,0,0,0,895.498633447723
0.135,0,0,0,891.607764563183
0.138,0,0,0,887.185539928841
0.141,0,0,0,882.176593102998
0.144,0,0,0,876.52027174776
0.147,0,0,0,870.151081278468
0.15,0,0,0,862.999379517952
0.153,0,0,0,854.992361092693
0.156,0,0,0,846.055363873274
0.159,0,0,0,836.113518075218
0.162,0,0,0,825.093740838505
0.165,0,0,0,812.927054852138
0.168,0,0,0,799.551179396084
0.171,0,0,0,784.913307738511
0.174,0,0,0,768.97294928296
0.177,0,0,0,751.704682785612
0.18,0,0,0,733.100644042481
0.183,0,0,0,713.172563681409
0.186,0,0,0,691.953183165281
0.189,0,0,0,669.49691246872
0.192,0,0,0,645.879649916863
0.195,0,0,0,621.197757452049
0.198,0,0,0,595.566262738675
0.201,0,0,0,569.116429791893
0.204,0,0,0,541.992888975744
0.207,0,0,0,514.350535429652
0.21,0,0,0,486.351388825921
0.213,0,0,0,458.161561327424
0.216,0,0,0,429.948416474487
0.219,0,0,0,401.877935770111
0.222,0,0,0,374.112258611099
0.225,0,0,0,346.807337630786
0.228,0,0,0,320.110660978542
0.231,0,0,0,294.159032632541
0.234,0,0,0,269.076461278001
0.237,0,0,0,244.972273133611
0.24,0,0,0,221.939619938744
0.243,0,0,0,200.054589828028
0.246,0,0,0,179.376142801777
0.249,0,0,0,159.947088939893
0.252,0,0,0,141.796318990503
0.255,0,0,0,124.942502132897
0.258,0,0,0,109.399508077583
0.261,0,0,0,95.1839194532998
0.264,0,0,0,82.325215092863
0.267,0,0,0,70.8795875574357
0.27,0,0,0,60.9490115287477
0.273,0,0,0,52.7083212434247
0.276,0,0,0,46.4449549983506
0.279,0,0,0,42.6199759238735
0.282,0,0,0,41.9634622763452
0.285,0,0,0,45.6405391758559
0.288,0,0,0,55.4880887387674
0.291,0,0,0,74.6682731785059
0.294,0,0,0,107.448848426045
0.297,0,0,0,165.456906893161
0.3,0,0,0,243.964670453068
0,0.002,3,4,-414.973228622447
0.003,0.002,0.67314641437653,0.164913013702786,-38.6177719449591
0.006,0.002,0.32696625231455,0.114313183684332,269.94819767767
0.009,0.002,0.200723617030477,0.0277469398378124,463.540231578257
0.012,0.002,0.144293369575424,0.0153846957505703,575.124394830957
0.015,0.002,0.113688781378741,0.00844566837320658,648.186828317805
0.018,0.002,0.0946223573736967,0.0056948536787482,698.330292780578
0.021,0.002,0.0817670716379775,0.00401463220917952,734.964275865819
0.024,0.002,0.0727087089332926,0.00290448558604179,762.92942887691
0.027,0.002,0.066230441850623,0.00207463866450834,785.074027780031
0.03,0.002,0.0616374968181521,0.00141943271850843,803.115060568677
0.033,0.002,0.058496580606757,0.00088168356743206,818.147160208528
0.036,0.002,0.0565163559059271,0.000429827986611812,830.895048973432
0.039,0.002,0.0554893699221047,4.39208038537358e-05,841.856157940316
0.042,0.002,0.0552609977259815,-0.000289459874171164,851.382373449068
0.045,0.002,0.0557117778765017,-0.000579910873363561,859.729338710573
0.048,0.002,0.0567467648861543,-0.000834606501793656,867.087180364136
0.051,0.002,0.0582888249220838,-0.00105912370611202,873.600302105712
0.054,0.002,0.0602742615550943,-0.00125795130206191,879.380492858811
0.057,0.002,0.0626498823276091,-0.00143482145835146,884.515821516711
0.06,0.002,0.0653709894038722,-0.0015929331251874,889.076799214469
0.063,0.002,0.06839998148095,-0.00173510695476231,893.120723938546
0.066,0.002,0.0717053705327971,-0.00186389502741938,896.694787574495
0.069,0.002,0.0752610861641719,-0.00198165985263035,899.838322198634
0.072,0.002,0.0790459828709219,-0.00209063191968723,902.584435674821
0.075,0.002,0.0830434923711662,-0.00219295189916983,904.961205727153
0.078,0.002,0.0872413805313782,-0.00229070157197908,906.992548910973
0.081,0.002,0.0916315798098879,-0.00238592622471647,908.698845826552
0.084,0.002,0.0962100756867139,-0.00248065033392739,910.097380174085
0.087,0.002,0.100976830529326,-0.00257688771131724,911.202632917878
0.09,0.002,0.105935731560735,-0.00267664680225375,912.026461444755
0.093,0.002,0.111094551558206,-0.00278193146111896,912.578185587825
0.096,0.002,0.116464911946485,-0.00289473723158999,912.864596718047
0.099,0.002,0.122062238274528,-0.00301704291388525,912.889902113197
0.102,0.002,0.127905697825319,-0.00315079699018818,912.655614057986
0.105,0.002,0.134018108408345,-0.00329789829669022,912.160391325127
0.108,0.002,0.140425806305698,-0.00346017017481048,911.399839653624
0.111,0.002,0.147158459961296,-0.00363932720957277,910.366277468322
0.114,0.002,0.15424881440122,-0.00383693358008254,909.048473314355
0.117,0.002,0.161732349655277,-0.00405435202224881,907.431362286363
0.12,0.002,0.169646834753354,-0.00429268246121476,905.495750111307
0.123,0.002,0.178031757381787,-0.00455268954223865,903.218015500627
0.126,0.002,0.186927608255809,-0.00483471861405499,900.569823923932
0.129,0.002,0.196374999023905,-0.0051386002456606,897.517869054834
