x,y,ux,uy,p
0,0,0,0,2159.54654383509
0.003,0,0,0,1847.47875332265
0.006,0,0,0,1414.23097111097
0.009,0,0,0,1163.64076541098
0.012,0,0,0,1021.03993637431
0.015,0,0,0,933.167476817418
0.018,0,0,0,875.737262885595
0.021,0,0,0,835.942641743101
0.024,0,0,0,807.072092328624
0.027,0,0,0,785.321826934228
0.03,0,0,0,768.428462720444
0.033,0,0,0,754.971621926162
0.036,0,0,0,744.01998639084
0.039,0,0,0,734.938817597201
0.042,0,0,0,727.281055604621
0.045,0,0,0,720.72282439028
0.048,0,0,0,715.023744008322
0.051,0,0,0,710.001628661145
0.054,0,0,0,705.515843271969
0.057,0,0,0,701.456043548741
0.06,0,0,0,697.734363519278
0.063,0,0,0,694.279869642452
0.066,0,0,0,691.034540709936
0.069,0,0,0,687.95029685181
0.072,0,0,0,684.986763781678
0.075,0,0,0,682.109561303511
0.078,0,0,0,679.288971605709
0.081,0,0,0,676.49888676331
0.084,0,0,0,673.715964415156
0.087,0,0,0,670.918940843482
0.09,0,0,0,668.088064830278
0.093,0,0,0,665.204625722342
0.096,0,0,0,662.250556420566
0.099,0,0,0,659.208097386348
0.102,0,0,0,656.059511809072
0.105,0,0,0,652.7868451944
0.108,0,0,0,649.371725078155
0.111,0,0,0,645.795198522467
0.114,0,0,0,642.037606625982
0.117,0,0,0,638.078496550163
0.12,0,0,0,633.896572567783
0.123,0,0,0,629.469688390796
0.126,0,0,0,624.774883526714
0.129,0,0,0,619.788466624791
0.132,0,0,0,614.486148675448
0.135,0,0,0,608.843228484365
0.138,0,0,0,602.834832023979
0.141,0,0,0,596.436206046762
0.144,0,0,0,589.623064720214
0.147,0,0,0,582.371986032216
0.15,0,0,0,574.660852369485
0.153,0,0,0,566.46932708353
0.156,0,0,0,557.779356163165
0.159,0,0,0,548.575681508296
0.162,0,0,0,538.84634996016
0.165,0,0,0,528.583200424351
0.168,0,0,0,517.7823103621
0.171,0,0,0,506.444382833904
0.174,0,0,0,494.575056313141
0.177,0,0,0,482.185121714947
0.18,0,0,0,469.290634465631
0.183,0,0,0,455.912913804609
0.186,0,0,0,442.078426577547
0.189,0,0,0,427.81855816031
0.192,0,0,0,413.169278404937
0.195,0,0,0,398.170715175474
0.198,0,0,0,382.866651758844
