x,y,ux,uy,p
0,0,0,0,-6766.6327389466
0.003,0,0,0,-4095.46847073645
0.006,0,0,0,-2354.66546139522
0.009,0,0,0,-1510.934553275
0.012,0,0,0,-1020.93546357528
0.015,0,0,0,-721.339949186391
0.018,0,0,0,-521.780446537245
0.021,0,0,0,-380.86715452062
0.024,0,0,0,-276.250533453834
0.027,0,0,0,-195.512894647177
0.03,0,0,0,-131.241648850738
0.033,0,0,0,-78.7967926492167
0.036,0,0,0,-35.137590258347
0.039,0,0,0,1.80495802955785
0.042,0,0,0,33.4851672180483
0.045,0,0,0,60.9540070285497
0.048,0,0,0,84.989390836405
0.051,0,0,0,106.179284482307
0.054,0,0,0,124.976366358878
0.057,0,0,0,141.734949778962
0.06,0,0,0,156.736517646903
0.063,0,0,0,170.207751236682
0.066,0,0,0,182.33349417954
0.069,0,0,0,193.266226128702
0.072,0,0,0,203.133085166886
0.075,0,0,0,212.041139064453
0.078,0,0,0,220.081386092906
0.081,0,0,0,227.331821177776
0.084,0,0,0,233.859805665693
0.087,0,0,0,239.723912251369
0.09,0,0,0,244.975370230679
0.093,0,0,0,249.659203548055
0.096,0,0,0,253.81513075245
0.099,0,0,0,257.478279098118
0.102,0,0,0,260.679752700082
0.105,0,0,0,263.4470855699
0.108,0,0,0,265.804603612878
0.111,0,0,0,267.773714633792
0.114,0,0,0,269.373141630356
0.117,0,0,0,270.6191118348
0.12,0,0,0,271.525511864448
0.123,0,0,0,272.104017793265
0.126,0,0,0,272.364207830605
0.129,0,0,0,272.313664492185
0.132,0,0,0,271.958072591229
0.135,0,0,0,271.301318995421
0.138,0,0,0,270.345599824519
0.141,0,0,0,269.091540541852
0.144,0,0,0,267.538334157573
0.147,0,0,0,265.683902446281
0.15,0,0,0,263.525084618094
0.153,0,0,0,261.057857201175
0.156,0,0,0,258.277587929099
0.159,0,0,0,255.179325122123
0.162,0,0,0,251.758122369201
0.165,0,0,0,248.009396248668
0.168,0,0,0,243.929312400973
0.171,0,0,0,239.515192569656
0.174,0,0,0,234.765932398687
0.177,0,0,0,229.682417018281
0.18,0,0,0,224.267919024346
0.183,0,0,0,218.528461651048
0.186,0,0,0,212.473129048686
0.189,0,0,0,206.114305869894
0.192,0,0,0,199.467830011883
0.195,0,0,0,192.553045407016
0.198,0,0,0,185.39274608335
0.201,0,0,0,178.013008046202
0.204,0,0,0,170.442911430351
0.207,0,0,0,162.714161319629
0.21,0,0,0,154.860621097956
0.213,0,0,0,146.917776739383
0.216,0,0,0,138.922153785769
0.219,0,0,0,130.910710834788
0.222,0,0,0,122.920234321324
0.225,0,0,0,114.986759550084
0.228,0,0,0,107.14504275428
0.231,0,0,0,99.4281088586578
0.234,0,0,0,91.8669000133117
0.237,0,0,0,84.4900511729127
0.24,0,0,0,77.3238213388716
0.243,0,0,0,70.3922129565631
0.246,0,0,0,63.7173180054117
0.249,0,0,0,57.3199386337225
0.252,0,0,0,51.2205446212446
0.255,0,0,0,45.4406525359771
0.258,0,0,0,40.0047471258761
0.261,0,0,0,34.9429223950422
0.264,0,0,0,30.2945116134049
0.267,0,0,0,26.1131264040464
0.27,0,0,0,22.4737762757113
0.273,0,0,0,19.483179668192
0.276,0,0,0,17.295111108887
0.279,0,0,0,16.1341834491991
0.282,0,0,0,16.3331547728783
0.285,0,0,0,18.3982652889539
0.288,0,0,0,23.1010555533227
0.291,0,0,0,31.7400725220912
0.294,0,0,0,46.0233109628494
0.297,0,0,0,70.678648314062
0.3,0,0,0,103.691650996004
0,0.002,1,8,-4935.39825932183
0.003,0.002,-1.50210750949597,-0.0449599392446925,-3620.6549845215
0.006,0.002,-1.56832264909025,-0.09754254284853,-2282.38575165384
0.009,0.002,-1.36945756559464,-0.17175543922291,-1492.91619280453
0.012,0.002,-1.16288595736062,-0.128505661898124,-1028.07652128163
0.015,0.002,-0.992230706652837,-0.0970442606352235,-732.120419352104
0.018,0.002,-0.858153152991087,-0.0727884923007986,-532.787535630161
0.021,0.002,-0.752594288263534,-0.0560238539788087,-390.701308017321
0.024,0.002,-0.668242647533529,-0.0442101917898489,-284.796169607201
0.027,0.002,-0.599534097759444,-0.0357645230483368,-202.891705494959
0.03,0.002,-0.542482567618133,-0.0295844817376697,-137.643547566579
0.033,0.002,-0.494248496348686,-0.0249628803445259,-84.3982962144691
0.036,0.002,-0.452793993162164,-0.0214351199071663,-40.0871542816422
0.039,0.002,-0.416635889379528,-0.0186920382670671,-2.61227130680647
0.042,0.002,-0.384678053298348,-0.016523191070847,29.5052071804489
0.045,0.002,-0.35609801286581,-0.0147822611112825,57.3359962095788
0.048,0.002,-0.330269836770809,-0.013365391087175,81.6735269605079
0.051,0.002,-0.30671097291794,-0.0121974576681094,103.117874651673
0.054,0.002,-0.285045033196296,-0.0112231880644534,122.131164519591
0.057,0.002,-0.264975317652669,-0.010401295259407,139.075102162098
0.06,0.002,-0.246265678873153,-0.00970052704243602,154.23698064598
0.063,0.002,-0.228726481509746,-0.00909695290160278,167.848069769054
0.066,0.002,-0.21220415394391,-0.00857206687711572,180.0968534946
0.069,0.002,-0.196573311017999,-0.00811143826966605,191.138711215829
0.072,0.002,-0.181730743911076,-0.00770373662848953,201.103098469504
0.075,0.002,-0.167590784856585,-0.00734001664138663,210.09893969148
0.078,0.002,-0.154081697621981,-0.00701318627213998,218.218722987996
0.081,0.002,-0.141142842961584,-0.00671760594583477,225.541639551203
0.084,0.002,-0.128722436628389,-0.00644878269589078,232.136011047986
0.087,0.002,-0.116775765718315,-0.00620313396799991,238.06118027268
0.09,0.002,-0.10526376351065,-0.00597780309479666,243.368993019386
0.093,0.002,-0.0941518678114656,-0.0057705134908271,248.104965733789
0.096,0.002,-0.0834091059653651,-0.00557945212669827,252.309209638895
0.099,0.002,-0.0730073631267294,-0.0054031753165729,256.017164774287
0.102,0.002,-0.0629208004195197,-0.00524053161962336,259.26018478262
0.105,0.002,-0.0531253972008838,-0.00509059793149591,262.066003983974
0.108,0.002,-0.0435985974351598,-0.00495262577424411,264.459111376446
0.111,0.002,-0.0343190446452342,-0.00482599548450814,266.461051046587
0.114,0.002,-0.0252663933659208,-0.00471017652123466,268.090664611313
0.117,0.002,-0.016421187711063,-0.00460469251655858,269.364288418941
0.12,0.002,-0.00776479974469373,-0.00450909001314243,270.295916075459
0.123,0.002,0.000720578072056358,-0.00442291009507398,270.897335259908
0.126,0.002,0.00905189092952808,-0.0043456623472669,271.178246619162
0.129,0.002,0.0172451340075951,-0.00427680078501965,271.146371686107
0.132,0.002,0.0253152224767475,-0.0042157015918217,270.807556164141
0.135,0.002,0.0332758224639638,-0.00416164269707105,270.165874494597
0.138,0.002,0.0411391465634335,-0.0041137854201712,269.223741308216
0.141,0.002,0.0489157181052719,-0.00407115860407544,267.982035095498
0.144,0.002,0.0566141093846529,-0.00403264585633489,266.440239151657
0.147,0.002,0.0642406603897698,-0.0039969767011644,264.596604496348
0.15,0.002,0.0717991862206285,-0.00396272260903929,262.448338971212
0.153,0.002,0.0792906833038897,-0.00392829899271976,259.991826014746
0.156,0.002,0.0867130465856227,-0.00389197431729761,257.222875643631
0.159,0.002,0.0940608119816128,-0.00385188744010136,254.137008882109
0.162,0.002,0.101324940290697,-0.00380607414596042,250.729775244333
0.165,0.002,0.108492660287582,-0.00375250354877688,246.997100884862
0.168,0.002,0.1155473895243,-0.00368912457365233,242.935662723937
0.171,0.002,0.122468751179956,-0.00361392211116084,238.543281309016
0.174,0.002,0.129232703814494,-0.0035249816638299,233.819322528785
0.177,0.002,0.13581179786749,-0.00342056042825007,228.765095741964
0.18,0.002,0.142175568068933,-0.00329916184793804,223.384233660058
0.183,0.002,0.148291064629092,-0.00315960983340765,217.683037699904
0.186,0.002,0.154123518388223,-0.00300111819748898,211.670771768828
0.189,0.002,0.15963712650187,-0.00282335051984357,205.359887796353
0.192,0.002,0.164795936396158,-0.0026264657400635,198.766167935952
0.195,0.002,0.169564797489236,-0.00241114534469693,191.908771263839
0.198,0.002,0.173910343432765,-0.00217859905403633,184.81017688762
0.201,0.002,0.177801963190342,-0.00193054734347182,177.496020381569
0.204,0.002,0.18121271771581,-0.00166918078847166,169.994825992148
0.207,0.002,0.184120160545357,-0.00139709788396593,162.337642632761
0.21,0.002,0.186507025072748,-0.00111722442564854,154.557596830224
0.213,0.002,0.188361748032488,-0.000832718554954532,146.689380093343
0.216,0.002,0.189678806871114,-0.000546866044695671,138.768691391112
0.219,0.002,0.190458857226031,-0.000262970331554683,130.831657491122
0.222,0.002,0.190708664730261,1.57587118668503e-05,122.914254950355
0.225,0.002,0.190440832169683,0.000286314044558608,115.051757861506
0.228,0.002,0.189673328365501,0.000545996359057715,107.278235422075
0.231,0.002,0.188428829150387,0.000792512885797008,99.6261234145088
0.234,0.002,0.186733883851694,0.00102406878441523,92.1258941333056
0.237,0.002,0.184617923324984,0.00123944994411087,84.8058504902046
0.24,0.002,0.182112128313179,0.00143809592603308,77.6920722811723
0.243,0.002,0.179248180149028,0.00162016154608811,70.8085462988445
0.246,0.002,0.176056919890652,0.00178656525814803,64.1775177325789
0.249,0.002,0.172566947279309,0.00193902197783588,57.8201091375701
0.252,0.002,0.168803198250729,0.00208005699409497,51.7572668630994
0.255,0.002,0.1647855509193,0.00221299550916879,46.0111159328756
0.258,0.002,0.16052752872574,0.00234191787987074,40.6068373284897
0.261,0.002,0.156035203179599,0.00247156143104021,35.5752334532927
0.264,0.002,0.151306461713308,0.00260713089414828,30.9562298371355
0.267,0.002,0.146330927126525,0.00275394144407786,26.8036929810913
0.27,0.002,0.141091051992024,0.00291673598411179,23.1921603419843
0.273,0.002,0.135565389927806,0.00309835052188841,20.22642876428
0.276,0.002,0.129736041756548,0.00329695265414752,18.0555706305239
0.279,0.002,0.123604471936932,0.00350032019038143,16.8937972021084
0.282,0.002,0.117224890623251,0.00367182468685659,17.0529415633445
0.285,0.002,0.110777035501639,0.0037221870685514,18.9896973164208
0.288,0.002,0.10473273303356,0.00340110015668128,23.3919359572541
0.291,0.002,0.100268385982003,0.00218012409319484,31.2160061647974
0.294,0.002,0.100455800829297,-0.00246090454990789,44.008568635245
0.297,0.002,0.113497540451205,-0.0129526474332254,61.885284344213
0.3,0.002,0.1908614365041,-0.113081278034015,79.8710121151245
0,0.004,1,8,-2654.54573271534
0.003,0.004,-0.687376046592411,1.48519970247144,-2675.66474190446
0.006,0.004,-1.88454592741631,-0.135407016787812,-1969.9967319162
0.009,0.004,-1.9715902892343,-0.285078310281647,-1396.41142144556
