x,y,ux,uy,p
0,0,0,0,-6710.22098696933
0.003,0,0,0,-3556.69273551254
0.006,0,0,0,-1628.78789415798
0.009,0,0,0,-717.359208558542
0.012,0,0,0,-185.904868946789
0.015,0,0,0,139.011565961542
0.018,0,0,0,356.361209399298
0.021,0,0,0,510.514911721441
0.024,0,0,0,625.553410494253
0.027,0,0,0,714.815652830405
0.03,0,0,0,786.269216096425
0.033,0,0,0,844.899594002518
0.036,0,0,0,893.973310227565
0.039,0,0,0,935.711758339376
0.042,0,0,0,971.67500906476
0.045,0,0,0,1002.9889960455
0.048,0,0,0,1030.48563066504
0.051,0,0,0,1054.79219272739
0.054,0,0,0,1076.39012018892
0.057,0,0,0,1095.65470569784
0.06,0,0,0,1112.88252588021
0.063,0,0,0,1128.31077775071
0.066,0,0,0,1142.13114844565
0.069,0,0,0,1154.49991280661
0.072,0,0,0,1165.54537760362
0.075,0,0,0,1175.37342664858
0.078,0,0,0,1184.07168513482
0.081,0,0,0,1191.71266582479
0.084,0,0,0,1198.3561551095
0.087,0,0,0,1204.05102561069
0.09,0,0,0,1208.83661268851
0.093,0,0,0,1212.74375779734
0.096,0,0,0,1215.79559744978
0.099,0,0,0,1218.00815953161
0.102,0,0,0,1219.39081679505
0.105,0,0,0,1219.94663913094
0.108,0,0,0,1219.67268069059
0.111,0,0,0,1218.56023437206
0.114,0,0,0,1216.59508404592
0.117,0,0,0,1213.75778370671
0.12,0,0,0,1210.02399207265
0.123,0,0,0,1205.36489059442
0.126,0,0,0,1199.7477119241
0.129,0,0,0,1193.13640415504
0.132,0,0,0,1185.49245305153
0.135,0,0,0,1176.77587951462
0.138,0,0,0,1166.94642217978
0.141,0,0,0,1155.96490492275
0.144,0,0,0,1143.79477597433
0.147,0,0,0,1130.40378944799
0.15,0,0,0,1115.76578194833
0.153,0,0,0,1099.86247768551
0.156,0,0,0,1082.6852369133
0.159,0,0,0,1064.23664683993
0.162,0,0,0,1044.5318441383
0.165,0,0,0,1023.59945658191
0.168,0,0,0,1001.48206054544
0.171,0,0,0,978.236072574099
0.174,0,0,0,953.931026895595
0.177,0,0,0,928.648234696159
0.18,0,0,0,902.478871318079
0.183,0,0,0,875.521588735247
0.186,0,0,0,847.879796311911
0.189,0,0,0,819.658786713752
0.192,0,0,0,790.962901017858
0.195,0,0,0,761.892924950349
0.198,0,0,0,732.543886959838
0.201,0,0,0,703.003391426043
0.204,0,0,0,673.350571705421
0.207,0,0,0,643.655694011948
0.21,0,0,0,613.980390394047
0.213,0,0,0,584.378452454832
0.216,0,0,0,554.897080674676
0.219,0,0,0,525.57845936454
0.222,0,0,0,496.461515204985
0.225,0,0,0,467.58371791688
0.228,0,0,0,438.982794354488
0.231,0,0,0,410.698251642422
0.234,0,0,0,382.772640449073
0.237,0,0,0,355.252535775167
0.24,0,0,0,328.18926944207
0.243,0,0,0,301.639515496317
0.246,0,0,0,275.665906936015
0.249,0,0,0,250.337950346834
0.252,0,0,0,225.733607294083
0.255,0,0,0,201.942035241577
0.258,0,0,0,179.068142023156
0.261,0,0,0,157.239836054429
0.264,0,0,0,136.619202558749
0.267,0,0,0,117.419400026942
0.27,0,0,0,99.9300158532074
0.273,0,0,0,84.555289102238
0.276,0,0,0,71.8724393767761
0.279,0,0,0,62.7232733822354
0.282,0,0,0,58.3592246634402
0.285,0,0,0,60.6942857864587
0.288,0,0,0,72.6695511035614
0.291,0,0,0,99.2297242453401
0.294,0,0,0,147.037232342461
0.297,0,0,0,233.305870308372
0.3,0,0,0,349.235921884525
0,0.002,3,10,-4399.61567412888
0.003,0.002,-0.882854026630717,0.0757034014887675,-2950.40335869145
0.006,0.002,-1.18566895357191,-0.00755435355449429,-1528.52934759034
0.009,0.002,-1.09543876582407,-0.135035576021341,-681.462680305212
0.012,0.002,-0.949257826628814,-0.104811515518072,-184.135501415776
0.015,0.002,-0.8172132885365,-0.0813974728651612,134.131339402706
0.018,0.002,-0.709914938895205,-0.0615389329106104,349.351258854043
0.021,0.002,-0.623836980365024,-0.0476768987854842,503.573774135125
0.024,0.002,-0.554085336341575,-0.0378751039898954,619.158476583426
